sp_id,name,x_rd,y_rd,capacity
new_potential_sp_0330,Sparse Area Point 0330,106504.6842105263,66962.15789473684,100
new_potential_sp_0331,Sparse Area Point 0331,106504.6842105263,70827.1052631579,100
new_potential_sp_0332,Sparse Area Point 0332,106504.6842105263,74692.05263157895,100
new_potential_sp_0333,Sparse Area Point 0333,106504.6842105263,78557.0,100
new_potential_sp_0334,Sparse Area Point 0334,113004.26315789473,5123.0,100
new_potential_sp_0335,Sparse Area Point 0335,113004.26315789473,8987.947368421053,100
new_potential_sp_0336,Sparse Area Point 0336,113004.26315789473,12852.894736842105,100
new_potential_sp_0337,Sparse Area Point 0337,113004.26315789473,16717.842105263157,100
new_potential_sp_0338,Sparse Area Point 0338,113004.26315789473,20582.78947368421,100
new_potential_sp_0339,Sparse Area Point 0339,113004.26315789473,24447.736842105263,100
new_potential_sp_0340,Sparse Area Point 0340,113004.26315789473,28312.684210526313,100
new_potential_sp_0341,Sparse Area Point 0341,113004.26315789473,32177.631578947367,100
new_potential_sp_0342,Sparse Area Point 0342,113004.26315789473,36042.57894736842,100
new_potential_sp_0343,Sparse Area Point 0343,113004.26315789473,39907.52631578947,100
new_potential_sp_0344,Sparse Area Point 0344,113004.26315789473,43772.47368421053,100
new_potential_sp_0345,Sparse Area Point 0345,113004.26315789473,47637.42105263158,100
new_potential_sp_0346,Sparse Area Point 0346,113004.26315789473,51502.368421052626,100
new_potential_sp_0347,Sparse Area Point 0347,113004.26315789473,55367.31578947368,100
new_potential_sp_0348,Sparse Area Point 0348,113004.26315789473,59232.26315789473,100
new_potential_sp_0349,Sparse Area Point 0349,113004.26315789473,63097.21052631579,100
new_potential_sp_0350,Sparse Area Point 0350,113004.26315789473,66962.15789473684,100
new_potential_sp_0351,Sparse Area Point 0351,113004.26315789473,70827.1052631579,100
new_potential_sp_0352,Sparse Area Point 0352,113004.26315789473,74692.05263157895,100
new_potential_sp_0353,Sparse Area Point 0353,113004.26315789473,78557.0,100
new_potential_sp_0354,Sparse Area Point 0354,119503.84210526316,5123.0,100
new_potential_sp_0355,Sparse Area Point 0355,119503.84210526316,8987.947368421053,100
new_potential_sp_0356,Sparse Area Point 0356,119503.84210526316,12852.894736842105,100
new_potential_sp_0357,Sparse Area Point 0357,119503.84210526316,16717.842105263157,100
new_potential_sp_0358,Sparse Area Point 0358,119503.84210526316,20582.78947368421,100
new_potential_sp_0359,Sparse Area Point 0359,119503.84210526316,24447.736842105263,100
new_potential_sp_0360,Sparse Area Point 0360,119503.84210526316,28312.684210526313,100
new_potential_sp_0361,Sparse Area Point 0361,119503.84210526316,32177.631578947367,100
