LocationID,day,pred_pickup,pred_home,distance
5499,186,47,35,696.7457412253577
5499,187,19,5,696.7457412253577
5499,188,45,23,696.7457412253577
5499,189,27,21,696.7457412253577
5499,191,40,27,696.7457412253577
5499,192,40,21,696.7457412253577
5499,193,19,17,696.7457412253577
5499,195,4,2,696.7457412253577
5499,196,23,14,696.7457412253577
5499,198,17,7,696.7457412253577
5499,199,11,7,696.7457412253577
5499,200,25,7,696.7457412253577
5499,201,25,20,696.7457412253577
5499,202,10,9,696.7457412253577
5499,203,25,15,696.7457412253577
5499,205,18,6,696.7457412253577
5499,206,22,18,696.7457412253577
5499,207,5,4,696.7457412253577
5499,208,22,13,696.7457412253577
5499,209,49,30,696.7457412253577
5499,210,18,10,696.7457412253577
5499,212,12,6,696.7457412253577
5499,213,57,31,696.7457412253577
5499,214,15,12,696.7457412253577
5499,215,15,6,696.7457412253577
5499,216,8,2,696.7457412253577
5499,217,23,22,696.7457412253577
5499,219,19,18,696.7457412253577
5499,220,3,2,696.7457412253577
5499,221,15,11,696.7457412253577
5499,222,4,6,696.7457412253577
5499,223,36,24,696.7457412253577
5499,224,18,13,696.7457412253577
5499,226,13,6,696.7457412253577
5499,227,42,37,696.7457412253577
5499,228,12,15,696.7457412253577
5499,229,10,7,696.7457412253577
5499,230,21,15,696.7457412253577
5499,231,25,12,696.7457412253577
5499,233,20,10,696.7457412253577
5499,234,24,22,696.7457412253577
5499,235,7,11,696.7457412253577
5499,236,35,24,696.7457412253577
5499,237,3,2,696.7457412253577
5499,238,17,12,696.7457412253577
5499,240,33,21,696.7457412253577
5499,241,35,33,696.7457412253577
5499,242,5,5,696.7457412253577
5499,243,37,17,696.7457412253577
5499,244,37,25,696.7457412253577
5499,245,35,25,696.7457412253577
5499,247,8,7,696.7457412253577
5499,248,42,29,696.7457412253577
5499,249,13,7,696.7457412253577
5499,250,36,20,696.7457412253577
5499,251,67,34,696.7457412253577
5499,252,47,33,696.7457412253577
5499,254,48,32,696.7457412253577
5499,255,37,35,696.7457412253577
5499,256,40,22,696.7457412253577
5499,257,30,22,696.7457412253577
5499,258,67,42,696.7457412253577
